time,open,high,low,close,21 SMMA,50 SMMA,100 SMMA,200 SMMA,EMA(2),Buy,Sell,Conversion Line,Base Line,Lagging Span,Leading Span A,Leading Span B,SuperTrend,Supertrend HTF,Supertrend HTF Trend Up,Supertrend HTF Trend Down,Volume,Volume MA,3 Line Strike Up,ATR
970437600,5.3,5.84,4.38,4.5,2.9461942529026737,2.472692034680864,2.2240922475660354,NaN,4.6555398205084595,0,0,4.1525,3.73,4.2,2.64875,2.93,3.109866775582581,4.756360110619524,NaN,NaN,759173,766518,0,0.7242254537412212
973033200,4.61,6.75,4.51,6.58,3.11923262181207,2.5548381939872464,2.2676513250903754,NaN,5.93851327350282,0,0,4.71,4.1850000000000005,4.789,2.64875,2.93,3.2756000933564984,5.072034708215445,NaN,5.072034708215445,815510,763724.3,0,0.8332093499025625
975625200,6.8,10,6.57,9.775,3.436173925535305,2.6992414301075014,2.3427248118394717,NaN,8.496171091167607,0,0,6.405,5.8100000000000005,5.605,2.64875,2.93,4.21396303592741,5.702753885245398,5.702753885245398,NaN,425075,744849.5,0,1.0186943963380937
978303600,8.65,9.89,5.65,5.65,3.541594214795529,2.7582566015053516,2.3757975637210773,NaN,6.59872369705587,0,0,6.505,5.8100000000000005,8.101,2.64875,2.93,4.21396303592741,7.448896609323066,NaN,NaN,431510,727631.45,0,1.2487876537425155
980982000,5.87,6.97,5.06,5.245,3.622708775995742,2.807991469475245,2.404489588083867,NaN,5.696241232351957,0,0,6.805,5.8100000000000005,5.06,2.6275,2.93,4.21396303592741,7.475566957339794,NaN,7.475566957339794,439483,711329.05,0,1.2960171070466215
983401200,5.22,5.74,4.86,5.03,3.6897226438054687,2.85243164008574,2.430744692203028,NaN,5.252080410783986,0,0,6.805,5.8100000000000005,5.385,2.4325,2.93,4.21396303592741,5.954881143467906,NaN,NaN,456901,691125.2,0,1.266301599400434
986162400,4.95,5.62,4.68,4.695,3.737592994100446,2.889283007284025,2.4533872452809975,NaN,4.8806934702613285,0,0,6.8875,5.8100000000000005,6.25,2.4325,2.93,4.21396303592741,5.771718272000575,NaN,NaN,546831,673816.45,0,1.242994342300403
988668000,4.58,4.703,3.67,3.914,3.745993327714711,2.9097773471383443,2.4679933728281873,NaN,4.236231156753776,0,0,6.835,5.975,5.411,2.4325,2.93,4.21396303592741,5.239523569802355,NaN,NaN,732053,661950.6,0,1.227994746421803
991346400,3.885,4.44,3.05,3.096,3.715041264490201,2.9135018001955775,2.4742734390999055,NaN,3.476077052251259,0,0,6.525,6.05,4.718,2.4325,2.9775,7.660398470931984,4.434587085366721,NaN,NaN,723574,654884.85,0,1.2395665502488171
994024800,3.06,3.45,2.881,3.296,3.6950869185620965,2.9211517641916656,2.4824907047089066,NaN,3.356025684083753,0,0,6.4405,6.05,4.731,2.4325,3,7.125669872843146,3.752057020277716,NaN,NaN,623377,649896.8,0,1.1916689395167588
996616800,3.25,3.61,2.265,2.38,3.6324637319639015,2.910328728907832,2.4814657976618175,NaN,2.7053418946945844,0,0,6.1325,6.05,4.83,2.46875,3,6.4538722684591345,3.7437550023257224,NaN,NaN,661576,650495.3,0,1.2026211581227046
999468000,2.28,2.72,1.854,2.244,3.566346411394192,2.8970021543296753,2.4790911396851993,NaN,2.3977806315648618,0,0,5.872,5.927,4.893,2.5575,3,5.956512775976048,2.9513815610965333,NaN,NaN,186521,624987.6,0,1.1785767896853687
1001887200,2.18,3.44,2.14,3.291,3.553234677518278,2.9048821112430816,2.487210228288347,NaN,2.9932602105216204,0,0,4.412,5.927,4.925,2.5575,3,5.956512775976048,2.6472627130416218,NaN,NaN,762236,626412.25,0,1.1872498761364139
1004569200,3.31,3.34,2.5,2.701,3.5126520738269313,2.9008044690182198,2.4893481260054635,NaN,2.7984200701738735,0,0,3.797,5.927,6.189,2.5875000000000004,3,5.956512775976048,2.680339117316935,2.680339117316935,NaN,770324,631408.4,0,1.1624463135552414
1007334000,2.63,3.03,2.45,2.57,3.4677638798351724,2.894188379637855,2.490154644745409,NaN,2.646140023391291,0,0,3.737,5.927,5.397,2.5875000000000004,3,5.517310836628492,2.680339117316935,NaN,NaN,714655,640111.85,0,1.1208430054441527
1009839600,2.49,2.51,1.85,2.15,3.4050132188906406,2.879304612045098,2.486753098297955,NaN,2.315380007797097,0,0,3.276500000000001,5.925,5.416,2.6100000000000003,3.0905,4.952220323968593,2.3180631123295434,NaN,NaN,782119,637062.45,0,1.092211362198142
1012518000,2.1,2.47,2.04,2.355,3.3550125894196574,2.8688185198041958,2.4854355673149753,NaN,2.3417933359323655,0,0,3.145000000000001,5.925,5.933,2.5599999999999996,3.115,4.674100035817176,2.3961322480265133,NaN,2.3961322480265133,798215,633786.85,0,1.0449105506125604
1014937200,2.425,3.55,2.335,3.245,3.3497738946853883,2.876342149408112,2.4930312116418256,NaN,2.943931111977455,0,0,2.73,5.925,5.862,2.5599999999999996,3.115,4.674100035817176,2.148111540189088,2.148111540189088,NaN,1111807,659053.85,0,1.0570597969973776
1017615600,3.21,3.82,3.06,3.765,3.369546566367037,2.8941153064199496,2.5057508995254074,NaN,3.4913103706591517,0,0,2.835,5.925,6.442,2.5599999999999996,3.115,4.674100035817176,2.7429759842365193,NaN,NaN,1174053,682075.7,0,1.0358412400689934
1020204000,3.76,3.875,3.19,3.217,3.362282444159083,2.900573000291551,2.5128633905301534,NaN,3.308436790219717,0,0,2.8625,5.925,6.155,2.565,3.115,4.674100035817176,3.1137177271093814,NaN,NaN,1109423,701220.8,0,1.0107811514926366
1023055200,3.23,3.58,3.05,3.245,3.3566975658657934,2.90746154028572,2.520184756624852,NaN,3.266145596739906,0,0,2.8625,5.925,6.112,3.215,3.115,4.674100035817176,3.1137177271093814,NaN,NaN,933300,709927.15,0,0.976439640671734
1025474400,3.26,3.285,2.705,2.954,3.337521491300755,2.9083923094800053,2.5245229090586037,NaN,3.0580485322466355,0,0,2.8625,5.925,5.074,3.3000000000000003,3.1750000000000003,4.674100035817176,3.1137177271093814,NaN,NaN,920314,715167.35,0,0.9481225234808959
1028152800,2.98,3.643,2.64,3.296,3.3355442774292903,2.916144463290405,2.5322376799680177,NaN,3.2166828440822117,0,0,2.8625,5.925,6.795,3.3000000000000003,3.1750000000000003,4.674100035817176,3.3068836929136696,NaN,3.3068836929136696,1022950,745061.1,0,0.9520423432322606
1030917600,3.18,4.2,3.1,4.14,3.3738516927898003,2.9406215740245965,2.5483153031683377,NaN,3.8322276146940704,0,0,3.025000000000001,5.925,8.725,3.37,3.245,4.674100035817176,2.8832437246535494,2.8832437246535494,NaN,947001,770835.65,0,0.9626107472870992
1033423200,4.19,4.44,3.67,4.156,3.411096850276001,2.9649291425441042,2.5643921501366544,NaN,4.04807587156469,0,0,3.24,5.925,7.62,3.72,3.595,4.674100035817176,3.4503149453873467,NaN,NaN,1091886,803455.8,0,0.9488528367665923
1036105200,4.115,4.4,3.74,4.2,3.4486636669295248,2.9896305596932216,2.580748228635288,NaN,4.149358623854897,0,0,3.3875,5.925,6.149,3.94125,3.73,4.674100035817176,3.793441541274246,NaN,NaN,787942,820007.85,0,0.9282204912832642
1038783600,4.185,5.56,4.16,4.789,3.5124892065995477,3.025617948499357,2.602830746348935,NaN,4.575786207951632,0,0,4.1,5.925,6.321,4.4475,4.1850000000000005,4.674100035817176,3.876277756555273,NaN,NaN,833809,834356.75,0,0.9619190276201738
1041375600,4.97,5.85,4.85,5.605,3.612132577713855,3.077205589529369,2.632852438885446,NaN,5.261928735983878,0,0,4.245,5.925,6.73,6.1075,5.8100000000000005,2.8199579842882856,4.347525103305656,NaN,NaN,958358,845672,0,0.9689962399330184
1044226800,5.5,11.9,5.485,8.101,3.8258881692512907,3.1776814777387816,2.6875339144965915,NaN,7.154642911994626,0,0,7.2700000000000005,6.875,7.653,6.157500000000001,5.8100000000000005,4.395727257434983,4.979387803392488,NaN,NaN,799815,849484.05,0,1.3579965085092314
1046646000,7.5,7.6,4.98,5.06,3.884655399286944,3.215327848184006,2.7112585753516254,NaN,5.7582143039982085,0,1,7.2700000000000005,6.875,6.585,6.3075,5.8100000000000005,4.395727257434983,5.1247363851359164,NaN,NaN,574084,847019.4,0,1.4839253293300005
1049151600,5.05,5.85,4.88,5.385,3.95610038027328,3.2587212912203256,2.737995989598109,NaN,5.509404767999403,0,0,7.2700000000000005,6.875,6.379,6.3075,5.8100000000000005,4.395727257434983,5.816120326805891,NaN,5.816120326805891,624565,845168.85,0,1.4472163772350004
1051740000,5.36,6.44,5.22,6.25,4.065333695498362,3.318546865395919,2.773116029702128,NaN,6.003134922666468,0,0,7.5,6.875,6.981,6.348750000000001,5.8100000000000005,4.395727257434983,5.816120326805891,NaN,NaN,770488,874367.2,0,1.430986636003929
1054504800,6.25,6.63,5.3,5.411,4.129413043331773,3.3603959280880007,2.7994948694051067,NaN,5.608378307555489,0,0,7.785,6.875,7.885,6.404999999999999,5.8100000000000005,4.395727257434983,5.622070581652302,5.622070581652302,NaN,790476,875779.2,0,1.423773304860791
1057010400,5.405,5.64,4.58,4.718,4.157440993649308,3.3875480095262405,2.8186799207110558,NaN,5.014792769185163,0,0,7.82,6.875,11.472,6.2875,5.8100000000000005,4.395727257434983,6.067170702611204,NaN,6.067170702611204,698166,872171.3,0,1.3977894973707343
